time,PH_Sensor,ORP_Sensor,TR_Sensor,CT_Sensor,TDS_Sensor,NH_SEnsor,DO_Sensor,COD_Sensor,BOD_Sensor,
2024-10-10 17:57:42.128	,23.008,,0.000,28.334,-3489898834828460032.000,,6.418,,
2024-10-10 18:27:42.128	,23.491,1.024,0.000,28.311,-3479753366161063936.000,,6.338,,
2024-10-10 18:57:42.128	,27.177,1.024,0.000,28.302,-3494384017636065280.000,,6.433,,
2024-10-10 19:27:42.128	,,1.024,0.000,28.287,-3489872996305207296.000,,6.372,,
2024-10-10 19:57:42.128	,26.049,1.024,0.000,28.252,-869384874874634240.000,,6.564,,
2024-10-10 20:27:42.128	,25.385,,0.000,28.263,-870230742913777664.000,,6.452,,
2024-10-10 20:57:42.128	,25.516,1.024,0.000,28.123,-217768310924640256.000,,6.509,,
2024-10-11 07:52:37.079	,31.397,1.024,0.000,27.623,-852584294252544.000,,6.420,,
2024-10-11 08:22:37.079	,26.704,,0.000,27.652,-852035142418432.000,,6.457,,
2024-10-11 08:52:37.079	,28.335,1.024,0.000,27.688,-3409195252580352.000,,6.452,,
2024-10-11 09:22:37.079	,30.037,1.024,0.000,27.719,-3401513166700544.000,,6.488,,
2024-10-11 09:52:37.079	,28.386,1.024,0.000,27.769,,,6.511,,
2024-10-11 10:22:37.079	,25.918,,0.000,27.852,-13606075215380480.000,,,,
2024-10-11 10:52:37.079	,30.470,1.024,0.000,27.908,-54582067895205888.000,,6.498,,
2024-10-11 11:22:37.079	,27.923,1.024,0.000,27.992,-54547579307819008.000,,6.477,,
2024-10-11 11:52:37.079	,34.056,,0.000,28.041,-218328357480169472.000,,6.383,,
2024-10-11 12:22:37.079	,30.601,1.024,0.000,28.113,-217556792375246848.000,,6.318,,
2024-10-11 12:52:37.079	,33.300,,0.000,28.189,-869657622477799424.000,,6.302,,
2024-10-11 13:22:37.079	,33.049,1.024,0.000,28.261,-870512424048918528.000,,6.260,,
2024-10-11 13:52:37.079	,35.899,1.024,0.000,28.352,-3478649181608869888.000,,6.229,,
2024-10-11 14:22:37.079	,34.791,,0.000,28.318,-3493281482351312896.000,,6.243,,
2024-10-11 14:52:37.079	,33.260,1.024,0.000,28.397,-13977525075427983360.000,,6.209,,
2024-10-11 15:22:37.079	,33.935,1.024,0.000,28.448,-13964074749685399552.000,,6.226,,
2024-10-11 15:52:37.079	,34.871,1.024,0.000,28.430,-13977602041241927680.000,,6.199,,
2024-10-11 16:22:37.079	,34.287,1.024,0.000,28.450,-13964078048220282880.000,,6.327,,
2024-10-11 16:52:37.079	,34.831,1.024,0.000,28.438,-13919076136807038976.000,,6.277,,
2024-10-11 17:22:37.079	,35.284,,0.000,28.497,-13932660602968211456.000,,6.370,,
2024-10-11 17:52:37.079	,34.257,1.024,0.000,28.503,-13941680996362485760.000,,6.320,,
2024-10-11 18:22:37.079	,35.586,,0.000,28.479,-13959644817337090048.000,,6.296,,
2024-10-11 18:52:37.079	,33.653,,0.000,28.462,-13919066241202388992.000,,6.328,,
2024-10-11 19:22:37.079	,30.773,1.024,0.000,28.439,-13937030062176993280.000,,6.359,,
2024-10-11 19:52:37.079	,33.411,1.024,0.000,28.407,-13945973489757323264.000,,,,
2024-10-11 20:22:37.079	,29.373,1.024,0.000,28.365,-3485412827387133952.000,,6.594,,
2024-10-11 20:52:37.079	,28.376,1.024,0.000,28.355,-3480903455323717632.000,,6.592,,
2024-10-11 21:22:37.079	,26.895,1.024,0.000,28.355,-3478650830876311552.000,,6.500,,
2024-10-12 07:41:48.138	,,,0.000,27.701,-3409223975174144.000,,6.296,,
2024-10-12 08:11:48.138	,28.053,1.024,0.000,27.766,-3404836397645824.000,,6.376,,
2024-10-12 08:41:48.138	,27.822,,0.000,27.778,-13597128798502912.000,,6.344,,
2024-10-12 09:11:48.138	,28.094,1.024,0.000,27.785,-13649949380050944.000,,6.467,,
2024-10-12 09:41:48.138	,28.869,1.024,0.000,27.833,-13628023572004864.000,,6.421,,
2024-10-12 10:11:48.138	,,1.024,0.000,27.850,-13606075215380480.000,,,,
2024-10-12 10:41:48.138	,27.469,1.024,0.000,27.892,-13588573223649280.000,,6.358,,
2024-10-12 11:11:48.138	,27.973,1.024,0.000,27.949,-54547308724879360.000,,6.324,,
2024-10-12 11:41:48.138	,28.617,,0.000,28.037,-218257937196384256.000,,6.265,,
2024-10-12 12:11:48.138	,30.672,1.024,0.000,28.114,-217697684482424832.000,,,,
2024-10-12 12:41:48.138	,33.119,,0.000,,-869939303612940288.000,,6.225,,
2024-10-12 13:11:48.138	,32.454,1.024,0.000,28.252,-869948030986485760.000,,6.205,,
2024-10-12 13:41:48.138	,32.384,1.024,0.000,28.320,-3484263562858201088.000,,6.228,,
2024-10-12 14:11:48.138	,33.250,1.024,0.000,28.343,-3493281482351312896.000,,6.237,,
2024-10-12 14:41:48.138	,36.160,1.024,0.000,28.338,-3484287752114012160.000,,6.203,,
2024-10-12 15:11:48.138	,33.341,,0.000,28.359,,,,,
2024-10-12 15:41:48.138	,32.807,1.024,0.000,28.359,-3483159378306007040.000,,,,
2024-10-12 16:11:48.138	,34.710,,0.000,28.368,-3487667925735702528.000,,6.231,,
